date,station,depth_m,parameter,value,depth.measurement,datasource,flag
2017-06-20,210,0.1,chla_ugl,0.98,assumed,LMP bio,NA
2017-06-20,200,0.1,chla_ugl,0.79,assumed,LMP bio,NA
2017-06-20,60,0.1,chla_ugl,1.17,assumed,LMP bio,NA
2017-06-13,30,0.1,chla_ugl,1.33,assumed,LMP bio,NA
2017-06-12,80,0.1,chla_ugl,0.52,assumed,LMP bio,NA
2017-06-12,100.1,0.1,chla_ugl,0.52,assumed,LMP bio,NA
2017-06-12,90,0.1,chla_ugl,0.19,assumed,LMP bio,NA
2017-06-12,10,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2017-06-12,70,0.1,chla_ugl,0.71,assumed,LMP bio,NA
2017-06-11,20,0.1,chla_ugl,0.92,assumed,LMP bio,NA
2017-06-04,110,0.1,chla_ugl,0.92,assumed,LMP bio,NA
2016-09-28,200,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2016-09-28,210,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2016-09-28,220,0.1,chla_ugl,1.82,assumed,LMP bio,NA
2016-09-28,230,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2016-09-13,30,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2016-09-13,110,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2016-09-11,10,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2016-09-11,20,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2016-09-11,70,0.1,chla_ugl,1.39,assumed,LMP bio,NA
2016-09-11,80,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2016-09-11,90,0.1,chla_ugl,1.22,assumed,LMP bio,NA
2016-08-23,200,0.1,chla_ugl,1.84,assumed,LMP bio,NA
2016-08-23,210,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2016-08-23,220,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2016-08-23,230,0.1,chla_ugl,2.2,assumed,LMP bio,NA
2016-08-16,20,0.1,chla_ugl,1.77,assumed,LMP bio,NA
2016-08-16,80,0.1,chla_ugl,1.55,assumed,LMP bio,NA
2016-08-16,90,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2016-08-16,110,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2016-08-15,10,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2016-08-15,30,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2016-08-14,70,0.1,chla_ugl,1.58,assumed,LMP bio,NA
2016-08-14,100.1,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2016-07-18,200,0.1,chla_ugl,1.22,assumed,LMP bio,NA
2016-07-18,210,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2016-07-18,220,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2016-07-18,230,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2016-07-12,10,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2016-07-12,80,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2016-07-12,90,0.1,chla_ugl,0.73,assumed,LMP bio,NA
2016-07-12,110,0.1,chla_ugl,1.08,assumed,LMP bio,NA
2016-07-11,30,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2016-07-11,70,0.1,chla_ugl,1.12,assumed,LMP bio,NA
2016-07-10,20,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2016-06-21,30,0.1,chla_ugl,0.87,assumed,LMP bio,NA
2016-06-21,200,0.1,chla_ugl,0.54,assumed,LMP bio,NA
2016-06-21,210,0.1,chla_ugl,0.92,assumed,LMP bio,NA
2016-06-21,220,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2016-06-21,230,0.1,chla_ugl,0.92,assumed,LMP bio,NA
2016-06-20,70,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2016-06-20,100.1,0.1,chla_ugl,0.71,assumed,LMP bio,NA
2016-06-19,10,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2016-06-15,80,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2016-06-15,90,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2016-06-14,20,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2016-06-14,110,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2016-05-31,200,0.1,chla_ugl,0.68,assumed,LMP bio,NA
2016-05-31,210,0.1,chla_ugl,0.52,assumed,LMP bio,NA
2016-05-31,220,0.1,chla_ugl,0.68,assumed,LMP bio,NA
2016-05-31,230,0.1,chla_ugl,0.71,assumed,LMP bio,NA
2015-09-21,200,0.1,chla_ugl,2.55,assumed,LMP bio,NA
2015-09-21,210,0.1,chla_ugl,2.72,assumed,LMP bio,NA
2015-09-21,220,0.1,chla_ugl,2.39,assumed,LMP bio,NA
2015-09-21,230,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2015-09-10,20,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2015-09-10,80,0.1,chla_ugl,0.87,assumed,LMP bio,NA
2015-09-10,90,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2015-09-10,110,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-09-08,10,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2015-09-08,30,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-09-08,70,0.1,chla_ugl,1.22,assumed,LMP bio,NA
2015-09-08,100.1,0.1,chla_ugl,1.04,assumed,LMP bio,NA
2015-08-12,20,0.1,chla_ugl,2.17,assumed,LMP bio,NA
2015-08-12,30,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2015-08-12,100.1,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2015-08-10,10,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2015-08-10,80,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2015-08-10,90,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-08-10,110,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2015-08-10,200,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2015-08-10,210,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-08-10,220,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2015-08-10,230,0.1,chla_ugl,1.82,assumed,LMP bio,NA
2015-08-09,70,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-07-20,200,0.1,chla_ugl,2.15,assumed,LMP bio,NA
2015-07-20,210,0.1,chla_ugl,2.52,assumed,LMP bio,NA
2015-07-20,220,0.1,chla_ugl,2.91,assumed,LMP bio,NA
2015-07-20,230,0.1,chla_ugl,3.07,assumed,LMP bio,NA
2015-07-15,110,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2015-07-14,20,0.1,chla_ugl,1.46,assumed,LMP bio,NA
2015-07-14,30,0.1,chla_ugl,2.15,assumed,LMP bio,NA
2015-07-14,100.1,0.1,chla_ugl,2.34,assumed,LMP bio,NA
2015-07-13,10,0.1,chla_ugl,2.93,assumed,LMP bio,NA
2015-07-13,70,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2015-07-13,80,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-07-13,90,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2015-06-22,200,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2015-06-22,210,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2015-06-22,220,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2015-06-22,230,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2015-06-17,100.1,0.1,chla_ugl,11.27,assumed,LMP bio,NA
2015-06-17,110,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2015-06-16,10,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2015-06-16,20,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2015-06-16,30,0.1,chla_ugl,1.96,assumed,LMP bio,NA
2015-06-16,70,0.1,chla_ugl,1.46,assumed,LMP bio,NA
2015-06-16,80,0.1,chla_ugl,1.46,assumed,LMP bio,NA
2015-06-16,90,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2014-09-15,230,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2014-09-15,220,0.1,chla_ugl,1,assumed,LMP bio,NA
2014-09-15,210,0.1,chla_ugl,1.93,assumed,LMP bio,NA
2014-09-15,200,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2014-09-15,100.1,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2014-09-03,10,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2014-09-03,30,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2014-09-03,70,0.1,chla_ugl,2.09,assumed,LMP bio,NA
2014-09-02,20,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2014-09-02,80,0.1,chla_ugl,1.16,assumed,LMP bio,NA
2014-09-02,90,0.1,chla_ugl,1.3,assumed,LMP bio,NA
2014-09-02,110,0.1,chla_ugl,2.15,assumed,LMP bio,NA
2014-08-19,200,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2014-08-19,210,0.1,chla_ugl,2.17,assumed,LMP bio,NA
2014-08-19,220,0.1,chla_ugl,2.33,assumed,LMP bio,NA
2014-08-19,230,0.1,chla_ugl,2.14,assumed,LMP bio,NA
2014-08-12,10,0.1,chla_ugl,1.77,assumed,LMP bio,NA
2014-08-12,10,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2014-08-12,20,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2014-08-12,80,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2014-08-12,90,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2014-08-11,30,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2014-08-11,100.1,0.1,chla_ugl,0.89,assumed,LMP bio,NA
2014-08-11,110,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2014-08-10,70,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2014-07-23,10,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2014-07-22,200,0.1,chla_ugl,0.79,assumed,LMP bio,NA
2014-07-22,210,0.1,chla_ugl,1.99,assumed,LMP bio,NA
2014-07-22,220,0.1,chla_ugl,1.85,assumed,LMP bio,NA
2014-07-22,230,0.1,chla_ugl,2.2,assumed,LMP bio,NA
2014-07-16,20,0.1,chla_ugl,1.5,assumed,LMP bio,NA
2014-07-15,30,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2014-07-15,100.1,0.1,chla_ugl,0.95,assumed,LMP bio,NA
2014-07-14,70,0.1,chla_ugl,0.19,assumed,LMP bio,NA
2014-07-14,80,0.1,chla_ugl,0.81,assumed,LMP bio,NA
2014-07-14,90,0.1,chla_ugl,1.33,assumed,LMP bio,NA
2014-07-14,110,0.1,chla_ugl,0.92,assumed,LMP bio,NA
2014-06-24,70,0.1,chla_ugl,1.58,assumed,LMP bio,NA
2014-06-23,100.1,0.1,chla_ugl,1.58,assumed,LMP bio,NA
2014-06-18,20,0.1,chla_ugl,2.12,assumed,LMP bio,NA
2014-06-17,80,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2014-06-17,90,0.1,chla_ugl,1.96,assumed,LMP bio,NA
2014-06-16,10,0.1,chla_ugl,2.36,assumed,LMP bio,NA
2014-06-16,30,0.1,chla_ugl,2.17,assumed,LMP bio,NA
2014-06-16,110,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2014-06-09,200,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2014-06-09,210,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2014-06-09,220,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2014-06-09,230,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2014-05-27,210,0.1,chla_ugl,6.16,assumed,LMP bio,NA
2013-09-17,110,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2013-09-17,200,0.1,chla_ugl,2.17,assumed,LMP bio,NA
2013-09-17,210,0.1,chla_ugl,2.93,assumed,LMP bio,NA
2013-09-17,220,0.1,chla_ugl,2.53,assumed,LMP bio,NA
2013-09-17,230,0.1,chla_ugl,2.52,assumed,LMP bio,NA
2013-09-16,30,0.1,chla_ugl,3.07,assumed,LMP bio,NA
2013-09-11,10,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2013-09-11,100.1,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2013-09-09,70,0.1,chla_ugl,1.85,assumed,LMP bio,NA
2013-09-08,20,0.1,chla_ugl,1.3,assumed,LMP bio,NA
2013-09-08,80,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2013-09-08,90,0.1,chla_ugl,1.66,assumed,LMP bio,NA
2013-08-19,200,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2013-08-19,210,0.1,chla_ugl,2.17,assumed,LMP bio,NA
2013-08-19,220,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2013-08-19,230,0.1,chla_ugl,1.3,assumed,LMP bio,NA
2013-08-14,10,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2013-08-14,30,0.1,chla_ugl,2.52,assumed,LMP bio,NA
2013-08-13,80,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2013-08-13,90,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2013-08-13,110,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2013-08-12,20,0.1,chla_ugl,1.46,assumed,LMP bio,NA
2013-08-12,70,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2013-08-12,100.1,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2013-07-16,30,0.1,chla_ugl,1.96,assumed,LMP bio,NA
2013-07-16,80,0.1,chla_ugl,1.04,assumed,LMP bio,NA
2013-07-16,90,0.1,chla_ugl,0.87,assumed,LMP bio,NA
2013-07-16,110,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2013-07-15,10,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2013-07-15,20,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2013-07-15,70,0.1,chla_ugl,0.87,assumed,LMP bio,NA
2013-07-15,100.1,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2013-07-15,200,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2013-07-15,210,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2013-07-15,220,0.1,chla_ugl,0.87,assumed,LMP bio,NA
2013-07-15,230,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2013-06-17,30,0.1,chla_ugl,2.04,assumed,LMP bio,NA
2013-06-17,200,0.1,chla_ugl,2.15,assumed,LMP bio,NA
2013-06-17,210,0.1,chla_ugl,1.03,assumed,LMP bio,NA
2013-06-17,220,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2013-06-13,80,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2013-06-13,90,0.1,chla_ugl,2.15,assumed,LMP bio,NA
2013-06-12,20,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2013-06-12,70,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2013-06-09,10,0.1,chla_ugl,2.36,assumed,LMP bio,NA
2012-10-02,110,0.1,chla_ugl,1.61,assumed,LMP bio,NA
2012-09-30,20,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2012-09-30,70,0.1,chla_ugl,1.3,assumed,LMP bio,NA
2012-09-17,200,0.1,chla_ugl,1,assumed,LMP bio,NA
2012-09-17,210,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2012-09-17,220,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2012-09-17,230,0.1,chla_ugl,1.39,assumed,LMP bio,NA
2012-09-12,20,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2012-09-12,30,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2012-09-12,100.1,0.1,chla_ugl,1.36,assumed,LMP bio,NA
2012-09-12,110,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2012-09-11,70,0.1,chla_ugl,0.89,assumed,LMP bio,NA
2012-09-09,10,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2012-08-20,200,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2012-08-20,210,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2012-08-20,220,0.1,chla_ugl,1.9,assumed,LMP bio,NA
2012-08-20,230,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2012-08-19,20,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2012-08-15,10,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2012-08-15,30,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2012-08-14,110,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2012-08-13,70,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2012-08-13,80,0.1,chla_ugl,1.2,assumed,LMP bio,NA
2012-08-13,90,0.1,chla_ugl,1.03,assumed,LMP bio,NA
2012-07-23,200,0.1,chla_ugl,0.73,assumed,LMP bio,NA
2012-07-23,210,0.1,chla_ugl,0.92,assumed,LMP bio,NA
2012-07-23,220,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2012-07-23,230,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2012-07-18,30,0.1,chla_ugl,1.11,assumed,LMP bio,NA
2012-07-18,100.1,0.1,chla_ugl,1.3,assumed,LMP bio,NA
2012-07-17,10,0.1,chla_ugl,1.11,assumed,LMP bio,NA
2012-07-17,20,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2012-07-17,110,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2012-07-16,70,0.1,chla_ugl,1.22,assumed,LMP bio,NA
2012-07-16,80,0.1,chla_ugl,1,assumed,LMP bio,NA
2012-07-16,90,0.1,chla_ugl,1,assumed,LMP bio,NA
2012-06-19,200,0.1,chla_ugl,1.11,assumed,LMP bio,NA
2012-06-19,210,0.1,chla_ugl,1.49,assumed,LMP bio,NA
2012-06-19,220,0.1,chla_ugl,0.95,assumed,LMP bio,NA
2012-06-19,230,0.1,chla_ugl,0.95,assumed,LMP bio,NA
2012-06-13,80,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2012-06-13,90,0.1,chla_ugl,1.11,assumed,LMP bio,NA
2012-06-13,100.1,0.1,chla_ugl,0.95,assumed,LMP bio,NA
2012-06-13,110,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2012-06-12,20,0.1,chla_ugl,0.9,assumed,LMP bio,NA
2012-06-12,30,0.1,chla_ugl,1.27,assumed,LMP bio,NA
2012-06-12,70,0.1,chla_ugl,1.11,assumed,LMP bio,NA
2012-06-11,10,0.1,chla_ugl,1.65,assumed,LMP bio,NA
2012-05-23,200,0.1,chla_ugl,1.77,assumed,LMP bio,NA
2012-05-23,210,0.1,chla_ugl,1.77,assumed,LMP bio,NA
2011-10-04,10,0.1,chla_ugl,1.52,assumed,LMP bio,NA
2011-10-03,70,0.1,chla_ugl,1.87,assumed,LMP bio,NA
2011-10-03,110,0.1,chla_ugl,1.33,assumed,LMP bio,NA
2011-10-02,20,0.1,chla_ugl,1.84,assumed,LMP bio,NA
2011-09-19,30,0.1,chla_ugl,2.72,assumed,LMP bio,NA
2011-09-19,80,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-09-19,90,0.1,chla_ugl,2.17,assumed,LMP bio,NA
2011-09-19,200,0.1,chla_ugl,3.07,assumed,LMP bio,NA
2011-09-19,210,0.1,chla_ugl,2.71,assumed,LMP bio,NA
2011-09-19,220,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-09-19,230,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-09-14,100.1,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2011-09-13,110,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2011-09-12,20,0.1,chla_ugl,2.2,assumed,LMP bio,NA
2011-09-12,70,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2011-09-05,10,0.1,chla_ugl,1.82,assumed,LMP bio,NA
2011-08-18,30,0.1,chla_ugl,2.52,assumed,LMP bio,NA
2011-08-18,80,0.1,chla_ugl,2.34,assumed,LMP bio,NA
2011-08-18,90,0.1,chla_ugl,2.36,assumed,LMP bio,NA
2011-08-18,110,0.1,chla_ugl,2.36,assumed,LMP bio,NA
2011-08-18,200,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2011-08-18,210,0.1,chla_ugl,2.36,assumed,LMP bio,NA
2011-08-18,220,0.1,chla_ugl,2.9,assumed,LMP bio,NA
2011-08-18,230,0.1,chla_ugl,3.07,assumed,LMP bio,NA
2011-08-16,10,0.1,chla_ugl,2.39,assumed,LMP bio,NA
2011-08-14,20,0.1,chla_ugl,2.15,assumed,LMP bio,NA
2011-08-10,70,0.1,chla_ugl,1.26,assumed,LMP bio,NA
2011-07-21,100.1,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2011-07-19,10,0.1,chla_ugl,2.72,assumed,LMP bio,NA
2011-07-19,20,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2011-07-19,30,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2011-07-19,80,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2011-07-19,90,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-07-19,110,0.1,chla_ugl,1.66,assumed,LMP bio,NA
2011-07-19,200,0.1,chla_ugl,1.65,assumed,LMP bio,NA
2011-07-19,210,0.1,chla_ugl,1.65,assumed,LMP bio,NA
2011-07-19,220,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2011-07-19,230,0.1,chla_ugl,1.66,assumed,LMP bio,NA
2011-07-12,70,0.1,chla_ugl,2,assumed,LMP bio,NA
2011-06-21,70,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-06-21,200,0.1,chla_ugl,1.46,assumed,LMP bio,NA
2011-06-21,210,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-06-21,220,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-06-21,230,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2011-06-19,30,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2011-06-14,20,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2011-06-14,80,0.1,chla_ugl,1.45,assumed,LMP bio,NA
2011-06-14,90,0.1,chla_ugl,1.8,assumed,LMP bio,NA
2011-06-13,110,0.1,chla_ugl,1.26,assumed,LMP bio,NA
2011-06-12,10,0.1,chla_ugl,1.45,assumed,LMP bio,NA
2011-05-31,200,0.1,chla_ugl,1.65,assumed,LMP bio,NA
2011-05-31,210,0.1,chla_ugl,1.46,assumed,LMP bio,NA
2011-05-31,220,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2011-05-31,230,0.1,chla_ugl,1.63,assumed,LMP bio,NA
2010-10-11,20,0.1,chla_ugl,1.64,assumed,LMP bio,NA
2010-10-05,70,0.1,chla_ugl,1,assumed,LMP bio,NA
2010-10-05,110,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2010-10-05,200,0.1,chla_ugl,1.14,assumed,LMP bio,NA
2010-10-03,10,0.1,chla_ugl,1,assumed,LMP bio,NA
2010-09-13,70,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2010-09-13,200,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2010-09-13,210,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2010-09-13,220,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2010-09-13,230,0.1,chla_ugl,1.6,assumed,LMP bio,NA
2010-09-07,80,0.1,chla_ugl,1.3,assumed,LMP bio,NA
2010-09-07,90,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2010-09-07,110,0.1,chla_ugl,1.38,assumed,LMP bio,NA
2010-09-06,10,0.1,chla_ugl,1.11,assumed,LMP bio,NA
2010-09-06,20,0.1,chla_ugl,1.14,assumed,LMP bio,NA
2010-09-06,30,0.1,chla_ugl,2.01,assumed,LMP bio,NA
2010-08-17,200,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2010-08-17,210,0.1,chla_ugl,1.47,assumed,LMP bio,NA
2010-08-17,220,0.1,chla_ugl,1.97,assumed,LMP bio,NA
2010-08-17,230,0.1,chla_ugl,1.99,assumed,LMP bio,NA
2010-08-11,100.1,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2010-08-10,30,0.1,chla_ugl,1.74,assumed,LMP bio,NA
2010-08-10,80,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2010-08-10,90,0.1,chla_ugl,1.41,assumed,LMP bio,NA
